country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,1.9896629304316409,3.1021616322880625,1.093015726602498,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,2.0577256992493074,3.1370184137983017,1.2060690618604666,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,2.0458850732922995,3.0467601348662434,1.2397730245882568,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,1.9775584622694273,2.9053632756752066,1.222437522779313,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,1.879901027162082,2.7340131705872546,1.210619442561178,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,1.8503758812200903,2.6087455887837376,1.2201587992282752,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,1.7646680929225718,2.452851163850478,1.1873169049285595,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,1.6782867634389447,2.2984364307601406,1.1632970682192885,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,1.5963722297031493,2.1716591709021316,1.1177878484719193,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,1.5104377757258753,2.0332995033937458,1.063912499001644,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,1.4242296268744319,1.8988144262139677,1.0118856111336219,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,1.3375121450281753,1.7783099162528813,0.9655923383009893,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,1.2604367306460937,1.6668167483035885,0.9088918269615498,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,1.1855753754166407,1.5728379971590996,0.8567110041414493,YEM
Yemen,YEM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,1.125821240903778,1.494330413649286,0.8120446023488401,YEM
