country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-09,3.7344502980873786,4.4864354167960245,3.0505912151673105,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-10,3.618950607539676,4.244863446346719,3.042335193628467,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-11,3.4484565074104503,3.966812145168732,2.9659334574151313,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-12,3.2398170106196407,3.6683365945584656,2.8375711991765202,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-13,2.9665537588884336,3.3189598673347316,2.633670606736118,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-14,2.61331059632811,2.900346567693115,2.341036519418324,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-15,2.215240494474439,2.4474880955609333,1.9944196509960164,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-16,1.836445150538384,2.025376727169223,1.6566433230487985,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-17,1.5288504756594419,1.6859794898406568,1.3793071634015455,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-18,1.2982044221713,1.4330675785451983,1.1699189531387344,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-19,1.1236879292096,1.2430199185963924,1.004732097600534,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-20,0.9737065058740748,1.087224818705279,0.8601881930428704,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-21,0.8335725568764225,0.9467380505221259,0.7204070632307191,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-22,0.7106635066288498,0.8269848905695488,0.5943421226881508,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-23,0.619824195831756,0.7408873757773748,0.4987610158861371,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-24,0.5706478214241197,0.7002167990766798,0.4410788437715597,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-25,0.5612979207641786,0.7064080054905991,0.4161878360377581,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-26,0.588334389776887,0.751212769053416,0.425456010500358,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-27,0.6481539170762808,0.8223882579048354,0.4739195762477262,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-28,0.7390610085406518,0.9156536477666977,0.562468369314606,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-29,0.8601422679067843,1.0332850806479947,0.6869994551655738,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-30,1.0047622527425397,1.1717286269972218,0.8377958784878576,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-03-31,1.1595354253299093,1.3231783227989886,0.996780993682187,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-01,1.3073042413689786,1.4816707777764262,1.1388735458074604,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-02,1.430410780332716,1.6139976000870506,1.2468239605783813,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-03,1.5161091367022488,1.70969148389104,1.3225267895134576,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-04,1.5620039843687359,1.753020096527402,1.3709878722100697,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-05,1.5761306435697842,1.761477646618185,1.3907836405213834,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-06,1.5702165656182836,1.7547962364686644,1.3856368947679027,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-07,1.5520382534083788,1.734539289868097,1.3695372169486606,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-08,1.5250185672871461,1.697890774426574,1.3521463601477182,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-09,1.4901620489011815,1.6492658552132597,1.3310582425891033,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-10,1.4488313780318456,1.596478948960903,1.3011838071027881,ZAF
South Africa,ZAF,DSFSI,Confirmed cases,Cori_slidingWindow,2020-04-11,1.4037667670250504,1.5430695342997642,1.2644639997503366,ZAF
