country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,0.6144628117666678,1.9991714250938304,0.05009343869476139,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,0.7750089577190753,2.2948018910558994,0.08673824378992369,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.926404046052903,2.7173646680024333,0.10879446793759343,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.3382106006487335,3.692514596076872,0.15295139903003419,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.630487021076977,3.83312915113978,0.30837971647559576,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.685298722117185,3.8519699174427653,0.38016367939008033,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.663337042184334,3.714242220229558,0.4168263134364525,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.5628115938730756,3.555760561165016,0.4045146038672309,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.4899621515387298,3.3529731696274756,0.4073781300071411,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.3974382911776075,3.1548085410761306,0.36853989444709145,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.318826413529291,2.906609680481489,0.34773376590106947,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.212374341805718,2.69200509523451,0.3319663119570573,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.1172777688814075,2.5138639626882022,0.30408370633687287,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.0163052357305375,2.288663400544493,0.26453163205991803,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,0.9235636891924556,2.099842446716886,0.2249238976484284,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,0.8472294321679901,1.96261273724541,0.18764352122763853,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,0.7948513949033951,1.8487202740077224,0.15934688212440234,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,0.7334678725421161,1.7993225658015548,0.12796007228126122,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,0.681398216920018,1.725089186957448,0.11022000001610935,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,0.6518374867249522,1.6961308239702166,0.09342213411245773,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,0.6633930364793181,1.7359619912131985,0.09050236375030642,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,0.6346020770571646,1.7615342406597208,0.07030784940162688,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,0.6211693320014628,1.8101042756076258,0.0534349254799986,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,0.6048486421948068,1.8291288290893999,0.0403777384215994,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,0.5585744117501638,1.8961308520719076,0.02866157104600669,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,0.5429546122037344,1.932255233762264,0.019477918535656582,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,0.5198867564494826,2.0618204506995337,0.01368491989354426,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,0.544309554821359,2.1637170689793166,0.01189195099851121,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,0.5816372378694851,2.3309407090769954,0.009014524188225233,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,0.5987911724984218,2.5488857984693514,0.006798110626241304,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,0.6657256586695323,2.733841189192609,0.00714101078749586,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,0.8260230052630975,3.2484577586047894,0.01072103150035133,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,1.0583506664084317,3.7443253155066576,0.021679851690161234,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,1.291294112332534,4.368837150083538,0.049222709403941856,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,1.5923470852066832,4.930907182349008,0.10164186975182045,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,1.8989203515427675,5.333808757567743,0.19609835572939294,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,1.9705087943701454,5.372082132017063,0.2574698773195833,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,2.019726029369313,5.183635376383085,0.30161911681009707,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,1.9362620596223876,4.999470803050275,0.34920007659707025,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,1.8317096550241234,4.601566761320827,0.4071627859077023,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,1.7618720931730862,4.268587776607715,0.4222436705500922,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,1.7034531220995888,3.9424182820983695,0.4323448632747367,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,1.732802776186888,3.7783606189171577,0.47679884429452324,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,1.992658892910729,3.9597294170089503,0.6599816175194145,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,2.4337293697223013,4.461503382704605,1.0207227411404172,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,2.9730540250019764,5.059111044348815,1.4557480473207516,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,3.317447042129277,5.18682999597245,1.868499845009452,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,3.336235196477051,4.9697886832947855,2.0185728240712355,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,3.0974064189962065,4.445943801316875,1.97312556372744,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,2.8064122906293583,3.885397952203577,1.8919200195470596,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,2.5413358683559304,3.434249359765314,1.7604870785093594,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,2.26913375517558,3.0172049792029303,1.6066804496275193,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,2.0121842963026273,2.6494596489341853,1.4540771233425978,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,1.8104507931857592,2.3760404085590525,1.3269719708746177,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,1.6596763345733179,2.1582117498767013,1.2273128871176158,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,1.529661903148081,1.970539033142365,1.1385581345509423,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,1.395671596334088,1.7930320859405962,1.0426313206361708,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,1.2612036491390535,1.6229150910080816,0.9413946623741951,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,1.141262966830305,1.473811184228857,0.8504054271006682,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,1.0439425089270276,1.356560565505806,0.7684096847501275,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,0.9623237232251717,1.263315331980659,0.7042669322806453,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,0.9068329943047289,1.1944941270637384,0.6614368503173731,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-30,0.8782042137814978,1.158180926734288,0.6345775661333005,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-31,0.8644077552608243,1.1402405715509165,0.6263943532062181,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-01,0.8672939127033712,1.1566643071929947,0.6235170722711356,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-02,0.8992615019799263,1.18611389381282,0.6342701085106958,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-03,0.933199634364323,1.222273460763143,0.6662596191687754,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-04,0.9691398620457419,1.2755664932115083,0.7008489394554093,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-05,1.0028347850247004,1.3174360646561571,0.7284371320647715,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-06,1.03541971126013,1.3668223741897236,0.7527230840819182,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-07,1.06891784694733,1.3958822699567763,0.7790485237679746,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-08,1.0814271941955826,1.4175813026901702,0.7939101166234943,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-09,1.0845985539055245,1.411798705212459,0.7973477922129426,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-10,1.0604760097332644,1.3854256614178013,0.782363474742189,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-11,1.0334420962665782,1.3547814019956015,0.7602354376583618,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-12,1.0085170622999595,1.3275386512060134,0.7431035894918545,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-13,0.9801975628899877,1.2887464625104748,0.7125369896464533,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-14,0.9366760822380624,1.2359649961114247,0.6784003394096391,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-15,0.8875193042063769,1.1876858879749874,0.6362205013444663,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-16,0.8485743962650508,1.1333142171691297,0.6049351639010927,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-17,0.8210244795410965,1.1078025543616397,0.5748134422684594,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-18,0.8153093785291111,1.110547809574701,0.5707020728301065,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-19,0.8348069131056225,1.1401270829846555,0.5827185126439367,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-20,0.8934918351191152,1.2161347498679522,0.6289570062493522,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-21,1.0040450679282402,1.344056469814112,0.7110528782159273,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-22,1.149481994913482,1.5194832839886205,0.8326749898970379,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-23,1.3236617383720362,1.7189921619116846,0.9735739921655238,ZWE
Zimbabwe,ZWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-24,1.4858170688878292,1.889109894151399,1.1252372890182498,ZWE
